"SHN_Id","Datnai","Sexe","Catlib","FedNom","Discipline","Club","DepLib","RegionLib","Fin de droits","Date début"
"shn11975","1996","M         ","Jeune","NATATION","Natation course","CANET 66 NATATION","PYRENEES-ORIENTALES","LANGUEDOC-ROUSSILLON","10/31/2015","11/1/2014"
"shn11976","1996","M         ","Espoir","SKI","Saut a ski","SC CONTAMINE","HAUTE-SAVOIE","RHONE-ALPES","10/31/2015","11/1/2014"
"shn11977","1997","M         ","Espoir","SKI","Ski alpin","SC ARECHES","SAVOIE","RHONE-ALPES","10/31/2015","11/1/2014"
"shn11978","1996","M         ","Jeune","CYCLISME","Route","Chambéry Cyclisme formation","SAVOIE","RHONE-ALPES","10/31/2015","11/1/2014"
"shn11979","1998","M         ","Espoir","SKI","Surf des neiges","ECRINS SNOW","HAUTES-ALPES","P.A.C.A.","10/31/2015","11/1/2014"
"shn11980","1995","M         ","Jeune","VOL LIBRE","Parapente","LES LOUPS VOLANTS","DROME","RHONE-ALPES","10/31/2015","11/1/2014"
"shn11981","1999","M         ","Espoir","SKI","Combine nordique","SC XONRUPT","VOSGES","LORRAINE","10/31/2015","11/1/2014"
"shn11982","2000","M         ","Espoir","BASKET-BALL","Basket-ball","JURA SALINS BASKET CLUB","JURA","FRANCHE-COMTE","10/31/2015","11/1/2014"
"shn11983","1998","F         ","Espoir","HANDBALL","Handball","JACOU","HERAULT","LANGUEDOC-ROUSSILLON","10/31/2015","11/1/2014"
"shn11984","1996","M         ","Espoir","JUDO","Judo","ALLIANCE JUDO LIMOGES","HAUTE-VIENNE","LIMOUSIN","10/31/2015","11/1/2014"
"shn11985","1997","M         ","Jeune","JUDO","Judo","SUCY JUDO","VAL-DE-MARNE","ILE-DE-FRANCE","10/31/2015","11/1/2014"
"shn11986","1998","M         ","Espoir","JUDO","Judo","J.C.MORESTEL","ISERE","RHONE-ALPES","10/31/2015","11/1/2014"
"shn11987","1989","M         ","Senior","SPORT BOULES","Sport boules","SAINT VULBAS","RHONE","RHONE-ALPES","10/31/2015","11/1/2014"
"shn11988","1994","F         ","Jeune","CYCLISME","Route","V.C. ST JULIEN EN GENEVOIS","HAUTE-SAVOIE","RHONE-ALPES","10/31/2015","11/1/2014"
"shn11989","1983","F         ","Senior","VOLLEY BALL","Volley ball","BEZIERS VOLLEY-BALL","HERAULT","LANGUEDOC-ROUSSILLON","10/31/2015","11/1/2014"
"shn11990","1997","M         ","Espoir","CANOE-KAYAK","Slalom","CANOE CLUB DU LIE","COTES-D'ARMOR","BRETAGNE","10/31/2015","11/1/2014"
"shn11991","1969","M         ","Senior","PETANQUE","Pétanque","ROCHER LE MANS","SARTHE","PAYS DE LA LOIRE","10/31/2015","11/1/2014"
"shn11992","1991","M         ","Elite","PETANQUE","Pétanque","ABC DRAGUIGNAN","VAR","P.A.C.A.","10/31/2015","11/1/2014"
"shn11993","1998","M         ","Espoir","RUGBY","Rugby a xv","A S MONTFERRANDAISE","PUY-DE-DOME","AUVERGNE","10/31/2015","11/1/2014"
"shn11994","2000","F         ","Jeune","TENNIS DE TABLE","Tennis de table","MARLY LE ROI US","YVELINES","ILE-DE-FRANCE","10/31/2015","11/1/2014"
"shn11995","1997","M         ","Jeune","TIR A L'ARC","Tir olympique","CLUB DES ARCHERS CHALLANDAIS","VENDEE","PAYS DE LA LOIRE","10/31/2015","11/1/2014"
"shn11996","1983","M         ","Elite","VOILE","Deriveur","74015 - C N DE SCIEZ","HAUTE-SAVOIE","RHONE-ALPES","10/31/2015","11/1/2014"
"shn11997","1998","F         ","Espoir","FOOTBALL","Football","FC VENDENHEIM","BAS-RHIN","ALSACE","10/31/2015","11/1/2014"
